0	折れ線 線 幅 設定 する	plt.plot(xdata, ydata, linewidth=n)
1	実数 サイン 求める	math.sin(x)
2	データ 列 位 丸める	ds.round(-2)
3	カデット ブルー ヒストグラム 色 セット する	plt.hist(データ列, color='cadetblue')
4	負 数	n < 0
5	列 配列 する	df[column].values
6	配列 リスト 散布 図 カラー コード 星 マーカー 描画 する	plt.plot(xdata, ydata, marker='*', c=rgb)
7	文字 列 左寄せ する	s.ljust(文字列幅)
8	文字 列 開始 位置 終了 位置 範囲 部分 文字 列 カウント する	s.count(sub, start, end)
9	オプション グラフ 線 種 実線 設定 する	linestyle = 'solid'
10	二つ 列 用い 破壊 的 データ フレーム 昇順 ソート する	df.sort_values(by=['A', 'B'], ascending=True, inplace=True)
11	データ フレーム カラム 何 年 調べる	df[col].dt.year
12	カンマ 文字 列 分割 し 列挙 する	s.split(',')
13	ケン ドール 相関 係数 データ フレーム リスト 列 相関 行列	df[aList].corr(method='kendall')
14	イテラブル 配列 散布 図 黒い 星 マーカー 描画 する	plt.plot(xdata, ydata, marker='*', c='k')
15	データ フレーム 各 列 列 組み合わせ 毎 分類 し 最大 値 求める	df.groupby([column, column2], as_index=False).max()
16	折れ線 グラフ 三角 印 線 幅 セット する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
17	実数 複素数 変換 する	complex(x)
18	二つ 変数 それぞれ 定義 する	x, y = i, j
19	折れ線 グラフ 星 印 サイズ 設定 する	plt.plot(データ列, データ列2, marker='*', markersize=n)
20	散布 図 赤い マーカー 使う	plt.plot(xdata, ydata, marker='^', c='r')
21	データ フレーム インデックス 昇順 整列 する	df.sort_index(ascending=True)
22	データ フレーム 欠損 値 置換 する	df.fillna(x)
23	ヒストグラム 描画 し その 色 ライト シアン する	plt.hist(データ列, color='lightcyan')
24	折れ線 グラフ 描画 し その 色 アクア 設定 する	plt.plot(データ列, データ列2, color='aqua')
25	オプション ライト コーラル 色 セット する	color = 'lightcoral'
26	重 見やすく リスト データ 列 散布 図 濃い 色 描画 する	plt.plot(xdata, ydata, c='deep', alpha=0.5)
27	折れ線 グラフ 描画 し その 色 カーキ 変更 する	plt.plot(データ列, データ列2, color='khaki')
28	文字 化け し ない よう 読み込む	pd.read_csv(filename, encoding='shift_jis')
29	配列 リスト 青い 淡い グラフ 描く	plt.plot(xdata, ydata, linestyle='muted', color='b')
30	オプション セパレータ カンマ する	sep = ','
31	浮動 小数点 数 型 する	float(x)
32	文字 列 青色 出力 する	print(f'\033[34m{value}\033[0m')
33	ヒストグラム 色 ゴースト ホワイト セット する	plt.hist(データ列, color='ghostwhite')
34	黒い 菱形 マーカー 散布 図 描画 する	plt.plot(xdata, ydata, marker='D', c='k')
35	データ フレーム 表示 する とき データ フレーム 行 表示 できる よう する	pd.set_option('display.max_rows', n)
36	ファイル ファイル 名	filename.endswith('.csv')
37	プロット 色 色 差別 なく する	sns.set(pallete='colorblind')
38	グラフ 目的 論文 設定 する	sns.set(context='paper')
39	カラム 欠損 値 設定 する	ds.fillna(x)
